	TP	TN	FP	FN	image1	image2
178_401	10.0	0.0	247.0	7.0	178.0	401.0
3164_3188	13.0	0.0	249.0	2.0	3164.0	3188.0
154_3154	23.0	0.0	236.0	5.0	154.0	3154.0
159_3173	20.0	0.0	242.0	2.0	159.0	3173.0
139_3185	23.0	0.0	238.0	3.0	139.0	3185.0
1587_2723	5.0	0.0	258.0	1.0	1587.0	2723.0
157_3041	20.0	0.0	239.0	5.0	157.0	3041.0
1587_8625	2.0	0.0	257.0	5.0	1587.0	8625.0
3_154	27.0	0.0	231.0	6.0	3.0	154.0
401_2714	16.0	0.0	238.0	10.0	401.0	2714.0
2729_8718	4.0	0.0	258.0	2.0	2729.0	8718.0
118_173	22.0	0.0	238.0	4.0	118.0	173.0
118_3187	19.0	0.0	244.0	1.0	118.0	3187.0
420_2723	12.0	0.0	250.0	2.0	420.0	2723.0
154_420	23.0	0.0	237.0	4.0	154.0	420.0
3160_3164	4.0	0.0	260.0	0.0	3160.0	3164.0
1585_8820	5.0	0.0	258.0	1.0	1585.0	8820.0
1750_8727	10.0	0.0	249.0	5.0	1750.0	8727.0
3129_10924	12.0	0.0	245.0	7.0	3129.0	10924.0
412_415	5.0	0.0	252.0	7.0	412.0	415.0
118_149	25.0	0.0	237.0	2.0	118.0	149.0
2723_3175	16.0	0.0	246.0	2.0	2723.0	3175.0
3040_3041	10.0	0.0	252.0	2.0	3040.0	3041.0
177_1586	9.0	0.0	250.0	5.0	177.0	1586.0
186_8820	12.0	0.0	247.0	5.0	186.0	8820.0
147_3041	24.0	0.0	237.0	3.0	147.0	3041.0
2731_3156	6.0	0.0	257.0	1.0	2731.0	3156.0
122_3156	5.0	0.0	258.0	1.0	122.0	3156.0
139_159	21.0	0.0	242.0	1.0	139.0	159.0
141_415	14.0	0.0	248.0	2.0	141.0	415.0
140_3187	22.0	0.0	240.0	2.0	140.0	3187.0
172_419	19.0	0.0	237.0	8.0	172.0	419.0
407_2863	14.0	0.0	246.0	4.0	407.0	2863.0
118_177	10.0	0.0	254.0	0.0	118.0	177.0
401_8625	11.0	0.0	247.0	6.0	401.0	8625.0
118_178	12.0	1.0	249.0	2.0	118.0	178.0
139_154	27.0	0.0	234.0	3.0	139.0	154.0
165_8718	16.0	0.0	243.0	5.0	165.0	8718.0
178_8718	1.0	0.0	258.0	5.0	178.0	8718.0
412_8730	12.0	0.0	244.0	8.0	412.0	8730.0
186_2723	14.0	0.0	246.0	4.0	186.0	2723.0
418_420	14.0	0.0	244.0	6.0	418.0	420.0
138_3186	15.0	0.0	238.0	11.0	138.0	3186.0
165_3179	28.0	0.0	228.0	8.0	165.0	3179.0
139_1586	20.0	0.0	238.0	6.0	139.0	1586.0
418_2729	10.0	0.0	249.0	5.0	418.0	2729.0
1587_2863	6.0	0.0	256.0	2.0	1587.0	2863.0
140_401	21.0	0.0	239.0	4.0	140.0	401.0
157_3142	17.0	0.0	240.0	7.0	157.0	3142.0
1586_3188	19.0	0.0	238.0	7.0	1586.0	3188.0
1750_2963	7.0	0.0	248.0	9.0	1750.0	2963.0
172_1587	14.0	0.0	244.0	6.0	172.0	1587.0
116_407	10.0	0.0	251.0	3.0	116.0	407.0
407_3040	11.0	0.0	250.0	3.0	407.0	3040.0
