,nid,TP,FP,TN,FN,sensitivity,specificity,accuracy,in_count,out_count,threshold
12028,trm_558c7439832d9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12046,trm_557b4a913f8cc,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12069,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12078,trm_55ef153d47bc0,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12085,trm_557b4bb7cf05b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12086,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12087,trm_558c73f3c8c6f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12106,trm_4a3fd79d0b61f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12107,trm_557b4817db34d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12108,trm_567982752ff4a,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12113,trm_557b48d40d3cf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12116,trm_4a3fd79d0b64e,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12134,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12139,trm_4a3fd79d0a17f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.91
12147,trm_557b494ca540d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12160,trm_558c7439832d9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12178,trm_557b4a913f8cc,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12201,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12210,trm_55ef153d47bc0,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12217,trm_557b4bb7cf05b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12218,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12219,trm_558c73f3c8c6f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12238,trm_4a3fd79d0b61f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12239,trm_557b4817db34d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12240,trm_567982752ff4a,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12245,trm_557b48d40d3cf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
12248,trm_4a3fd79d0b64e,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.92
